SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Vacant Land,,Miami,FL,33127,1400000,,,,,13400,,3,,,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33127/home/167998461,MARMLS,A11191483,N,Y,25.8248887,-80.1993918
MLS Listing,,Single Family Residential,130 NW 49th St,Miami,FL,33127,550000,3,1.0,SHADOWLAWN EXTENSION SUB,988,6100,1953,7,557,,Active,,,https://www.redfin.com/FL/Miami/130-NW-49th-St-33127/home/43375179,MARMLS,A11191067,N,Y,25.8205364,-80.1985138
MLS Listing,,Single Family Residential,586 NW 48th St,Miami,FL,33127,949000,5,2.0,BAY VISTA PARK AMD PL,1956,7500,1941,7,485,,Active,,,https://www.redfin.com/FL/Miami/586-NW-48th-St-33127/home/42684764,MARMLS,A11190910,N,Y,25.8195935,-80.2056257
MLS Listing,,Single Family Residential,253 NE 48th Ter,Miami,FL,33137,1500000,4,2.0,BRENTWOOD REV PL,2044,6200,1946,7,734,,Active,,,https://www.redfin.com/FL/Miami/253-NE-48th-Ter-33137/home/42726936,MARMLS,A11190164,N,Y,25.820219,-80.1904488
MLS Listing,,Single Family Residential,55 NW 47th St,Miami,FL,33127,895000,4,2.0,Shadowlawn Ext,2203,5000,1926,10,406,,Active,,,https://www.redfin.com/FL/Miami/55-NW-47th-St-33127/home/42691029,Beaches MLS,F10326664,N,Y,25.8187262,-80.196769
MLS Listing,,Multi-Family (2-4 Unit),52 NE 47th St,Miami,FL,33137,1718000,6,5.0,SHADOWLAWN,2450,,1925,18,701,,Active,,,https://www.redfin.com/FL/Miami/52-NE-47th-St-33137/home/42691516,MARMLS,A11186406,N,Y,25.8183469,-80.1945461
MLS Listing,,Single Family Residential,4736 NE Miami Ct,Miami,FL,33137,1400000,4,2.0,SHADOWLAWN,1640,5500,1923,19,854,,Active,,,https://www.redfin.com/FL/Miami/4736-NE-Miami-Ct-33137/home/42692559,MARMLS,A11185956,N,Y,25.8192484,-80.1950255
MLS Listing,,Vacant Land,120 NE 42nd St,Miami,FL,33137,2200000,,,Biltmore Sub,,6000,,20,,,Active,,,https://www.redfin.com/FL/Miami/120-NE-42nd-St-33137/home/42689064,Beaches MLS,RX-10789315,N,Y,25.814684,-80.19291
MLS Listing,,Multi-Family (2-4 Unit),149 NW 48th St,Miami,FL,33127,1299000,3,3.0,SHADOWLAWN EXTENSION SUB,1812,,1925,32,717,,Active,,,https://www.redfin.com/FL/Miami/149-NW-48th-St-33127/home/42688721,MARMLS,A11179237,N,Y,25.8201486,-80.198861
MLS Listing,,Single Family Residential,20 NE 48th St,Miami,FL,33137,1280000,3,2.0,SHADOWLAWN,1688,4800,1949,33,758,,Active,,,https://www.redfin.com/FL/Miami/20-NE-48th-St-33137/home/42691089,MARMLS,A11179213,N,Y,25.8197192,-80.1952753
MLS Listing,,Vacant Land,4798 NE 2nd Ave,Miami,FL,33137,2900000,,,SHADOWLAWN,,6454,,39,,,Active,,,https://www.redfin.com/FL/Miami/4798-NE-2nd-Ave-33137/home/45432409,MARMLS,A11173834,N,Y,25.8193581,-80.1918822
MLS Listing,,Single Family Residential,135 NW 52nd St,Miami,FL,33127,1000000,3,2.5,RAILWAY SHOPS ADDN 2ND AM,1152,7200,1957,44,868,,Active,,,https://www.redfin.com/FL/Miami/135-NW-52nd-St-33127/home/42692501,MARMLS,A11170154,N,Y,25.8234928,-80.1987398
MLS Listing,,Multi-Family (2-4 Unit),,Miami,FL,33137,650000,2,1.0,,2471,,1935,46,263,,Active,,,https://www.redfin.com/FL/Miami/Undisclosed-address-33137/home/43448548,MARMLS,A11172692,N,Y,25.8249011,-80.1954178
MLS Listing,,Single Family Residential,129 NE 44th St,Miami,FL,33137,1995000,4,3.0,BILTMORE SUB,2638,5250,1926,48,756,,Active,,,https://www.redfin.com/FL/Miami/129-NE-44th-St-33137/home/42690236,MARMLS,A11170782,N,Y,25.8164994,-80.1929333
MLS Listing,,Vacant Land,595 NW 52nd St,Miami,FL,33127,1500000,,,RAILWAY SHOPS ADDN 2ND AM,,15811,,53,,,Active,,,https://www.redfin.com/FL/Miami/595-NW-52nd-St-33127/home/42689801,MARMLS,A11169206,N,Y,25.82342,-80.205808
MLS Listing,,Multi-Family (2-4 Unit),4855 N Miami Ave,Miami,FL,33127,995000,3,2.0,BELLAIRE SUB,884,,1952,54,1126,,Active,,,https://www.redfin.com/FL/Miami/4855-N-Miami-Ave-33127/home/42689706,MARMLS,A11168285,N,Y,25.8204303,-80.1955921
MLS Listing,,Multi-Family (2-4 Unit),115 NE 53rd St,Miami,FL,33137,1050000,,349.0,ORCHARD VILLA TRACK,1760,,1984,61,597,,Active,,,https://www.redfin.com/FL/Miami/115-NE-53rd-St-33137/unit-117/home/42690562,MARMLS,A11165211,N,Y,25.8248837,-80.1935336
MLS Listing,,Single Family Residential,316 NW 40th St,Miami,FL,3327,699999,4,2.0,BAY VISTA PARK,1664,,1986,58,421,,Active,,,https://www.redfin.com/FL/Miami/316-NW-40th-St-33127/home/42688479,MARMLS,A11160791,N,Y,25.812945,-80.2019119
MLS Listing,,Multi-Family (2-4 Unit),30 NW 53 St,Miami,FL,33127,14000100,10,6.0,RAILWAY SHOPS ADDN 2ND AM,1089,,1926,67,1286,,Active,,,https://www.redfin.com/FL/Miami/30-NW-53rd-St-33127/home/42693021,MARMLS,A11162465,N,Y,25.8241516,-80.1965074
MLS Listing,,Vacant Land,27 NW 39th St,Miami,FL,33127,1300000,,,PRINCESS PARK,,5000,,68,,,Active,,,https://www.redfin.com/FL/Miami/27-NW-39th-St-33127/home/43462647,MARMLS,A11161530,N,Y,25.8127716,-80.1961868
MLS Listing,,Single Family Residential,419 NW 41st St,Miami,FL,33127,2300000,7,6.0,ALLENDALE SUB DB 943-562,2573,16754,1937,69,894,,Active,,,https://www.redfin.com/FL/Miami/419-NW-41st-St-33127/home/42692075,MARMLS,A11161304,N,Y,25.8141623,-80.2030015
MLS Listing,,Single Family Residential,67 NE 44th St,Miami,FL,33137,850000,3,2.0,BILTMORE SUB,1422,5250,1924,80,598,,Active,,,https://www.redfin.com/FL/Miami/67-NE-44th-St-33137/home/42690735,MARMLS,A11155324,N,Y,25.8164692,-80.1941756
MLS Listing,,Single Family Residential,231 NW 44th St,Miami,FL,33127,999000,5,3.0,COLUMBIA PARK CORR PL,1426,5400,1938,110,701,,Active,,,https://www.redfin.com/FL/Miami/231-NW-44th-St-33127/home/42689788,MARMLS,A11143109,N,Y,25.8164126,-80.2004301
MLS Listing,,Single Family Residential,270 NE 45th St,Miami,FL,33137,829000,2,1.0,BRENTWOOD,1208,8808,1950,140,686,,Active,,,https://www.redfin.com/FL/Miami/270-NE-45th-St-33137/home/42724557,MARMLS,A11132729,N,Y,25.8169448,-80.1900565
MLS Listing,,Single Family Residential,4727 NW 5th Ave,Miami,FL,33127,999000,5,3.0,BUENA VISTA HEIGHTS EXTEN,1794,6268,1993,153,557,,Active,,,https://www.redfin.com/FL/Miami/4727-NW-5-Ave-33127/home/43448383,MARMLS,A11128820,N,Y,25.8190921,-80.2035245
MLS Listing,,Single Family Residential,4605 N Miami Ave,Miami,FL,33127,1000000,3,1.0,SHADOWLAWN,1728,9095,1928,171,579,,Active,,,https://www.redfin.com/FL/Miami/4605-N-Miami-Ave-33127/home/42692069,MARMLS,A11121449,N,Y,25.8180403,-80.1952543
