SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,March-18-2022,Single Family Residential,65 NW 49th St,Miami,FL,33127,850000,4,3.0,PULLMAN PK,1894,8250,1936,,449,,Sold,,,https://www.redfin.com/FL/Miami/65-NW-49th-St-33127/home/42692149,MARMLS,A11097080,N,Y,25.8209852,-80.1970305
PAST SALE,,Single Family Residential,311 NW 46th St,Miami,FL,33127,460000,2,1.0,,682,6700,1930,,674,,,,,https://www.redfin.com/FL/Miami/311-NW-46th-St-33127/home/42692424,,,N,Y,25.817897,-80.2020862
PAST SALE,November-18-2021,Multi-Family (2-4 Unit),405 NW 52nd St,Miami,FL,33127,690000,8,8.0,RAILWAY SHOPS ADDN 2ND AM,2625,,1985,,263,,Sold,,,https://www.redfin.com/FL/Miami/405-NW-52nd-St-33127/home/42689876,MARMLS,A11111350,N,Y,25.823495,-80.203057
PAST SALE,August-31-2021,Single Family Residential,20 NE 49th St,Miami,FL,33137,550000,2,1.0,BELLAIRE SUB,1168,5200,1937,,471,,Sold,,,https://www.redfin.com/FL/Miami/20-NE-49th-St-33137/home/42690192,MARMLS,A11065761,N,Y,25.8204554,-80.195287
PAST SALE,June-30-2021,Multi-Family (2-4 Unit),414 NW 53 St,Miami,FL,33127,805000,8,4.0,Railway Shops Addn 2nd Am,2468,,1926,,326,,Sold,,,https://www.redfin.com/FL/Miami/414-NW-53rd-St-33127/home/42690370,Beaches MLS,F10265902,N,Y,25.8237489,-80.2033937
PAST SALE,,Multi-Family (2-4 Unit),145 NE 49th St,Miami,FL,33137,700000,4,1.0,,2173,6450,1925,,322,,,,,https://www.redfin.com/FL/Miami/145-NE-49th-St-33137/home/42692699,,,N,Y,25.8206161,-80.1929333
PAST SALE,September-24-2021,Single Family Residential,160 NE 43rd St,Miami,FL,33137,1410000,5,4.5,BILTMORE SUB,2506,5000,1926,,563,,Sold,,,https://www.redfin.com/FL/Miami/160-NE-43rd-St-33137/home/42693039,MARMLS,A11055559,N,Y,25.8154001,-80.1922359
PAST SALE,July-13-2021,Single Family Residential,181 NW 46th St,Miami,FL,33127,468000,2,2.0,SHADOWLAWN EXTENSION SUB,904,7500,1936,,518,,Sold,,,https://www.redfin.com/FL/Miami/181-NW-46th-St-33127/home/43425498,MARMLS,A10970821,N,Y,25.8179766,-80.1992097
PAST SALE,December-10-2021,Single Family Residential,280 NW 52nd St,Miami,FL,33127,575000,3,2.0,RAILWAY SHOPS ADDN 2ND AM,1209,7200,1948,,476,,Sold,,,https://www.redfin.com/FL/Miami/280-NW-52nd-St-33127/home/42683302,MARMLS,A11093780,N,Y,25.8230573,-80.2016174
PAST SALE,March-25-2022,Single Family Residential,270 NW 50th St,Miami,FL,33127,550000,3,2.0,BUENA VISTA HEIGHTS EXTEN,1548,7150,1959,,355,,Sold,,,https://www.redfin.com/FL/Miami/270-NW-50th-St-33127/home/42683370,MARMLS,A11118877,N,Y,25.8211918,-80.2014325
PAST SALE,October-5-2021,Single Family Residential,521 NW 49th St,Miami,FL,33127,424000,2,1.0,BAY VISTA PARK AMD PL,1016,5000,1939,,417,,Sold,,,https://www.redfin.com/FL/Miami/521-NW-49th-St-33127/home/42683739,MARMLS,A11099919,N,Y,25.8207949,-80.2043525
PAST SALE,July-13-2021,Single Family Residential,353 NW 50th St,Miami,FL,33127,295000,3,1.0,RAILWAY SHOPS ADDN 2ND AM,1078,7200,1948,,274,,Sold,,,https://www.redfin.com/FL/Miami/353-NW-50th-St-33127/home/42688175,MARMLS,A11029803,N,Y,25.8215854,-80.2026855
PAST SALE,,Single Family Residential,503 NW 47th St,Miami,FL,33127,325000,2,1.0,,837,5000,1938,,388,,,,,https://www.redfin.com/FL/Miami/503-NW-47th-St-33127/home/42688265,,,N,Y,25.8185845,-80.2041346
PAST SALE,May-28-2021,Single Family Residential,408 NW 50th St,Miami,FL,33127,600000,3,3.0,BUENA VISTA HEIGHTS EXTEN,,7200,2020,,,,Sold,,,https://www.redfin.com/FL/Miami/408-NW-50th-St-33127/home/42688894,MARMLS,A10973920,N,Y,25.8211697,-80.2031322
PAST SALE,,Single Family Residential,261 NW 46th St,Miami,FL,33127,320500,2,1.0,,1114,6650,1951,,288,,,,,https://www.redfin.com/FL/Miami/261-NW-46th-St-33127/home/42688956,,,N,Y,25.8179117,-80.2009531
PAST SALE,December-17-2021,Single Family Residential,424 NW 53rd St,Miami,FL,33127,365000,2,1.0,RAILWAY SHOPS ADDN 2ND AM,1172,6514,1949,,311,,Sold,,,https://www.redfin.com/FL/Miami/424-NW-53rd-St-33127/home/42689867,MARMLS,A11125709,N,Y,25.823972,-80.2037499
